Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP2,19/08/16,Almeria,Cadiz,1,1,D,0,0,D,2,3.4,3.75,2,3.2,4,2.2,3.2,3,2.05,3.1,3.8,2.09,3.27,4.15,2.15,3.1,3.4,2.05,3.2,4,56,2.28,2.05,3.4,3.17,4.15,3.67,41,2.5,2.35,1.6,1.54,29,-0.25,1.94,1.76,2.15,2.05,2.1,3.34,4
SP2,19/08/16,Mirandes,Getafe,1,1,D,0,0,D,2.63,3,2.88,2.7,3,2.8,2.5,3,2.8,2.62,3,2.8,2.79,3.12,2.89,2.5,3,2.88,2.7,3.1,2.8,56,2.79,2.63,3.15,3.02,2.89,2.75,40,2.5,2.35,1.61,1.54,29,0,1.95,1.88,2.02,1.92,2.71,3.12,2.99
SP2,20/08/16,Alcorcon,Huesca,0,0,D,0,0,D,2.1,3.25,3.6,2.1,3.1,3.8,2.1,3.1,3.3,2.1,3.1,3.75,2.16,3.25,3.93,2.1,3.1,3.6,2.15,3.13,3.75,54,2.17,2.11,3.25,3.13,3.93,3.55,39,2.51,2.36,1.61,1.54,27,-0.25,1.87,1.81,2.08,2,2.3,3.17,3.66
SP2,20/08/16,Cordoba,Tenerife,1,0,H,1,0,H,2.05,3.25,3.75,2.1,3.2,3.75,2.1,3.3,3.1,2.15,3,3.6,2.21,3.19,3.86,2.1,3.1,3.6,2.15,3.13,3.75,54,2.21,2.12,3.3,3.11,3.86,3.54,39,2.5,2.33,1.61,1.55,27,-0.25,1.88,1.81,2.08,2,2.25,3.14,3.82
SP2,20/08/16,Elche,Vallecano,2,1,H,2,1,H,3,3,2.5,3.1,3.1,2.4,2.6,3,2.6,3,3.1,2.4,3.16,3.18,2.48,2.8,3.1,2.5,3,3.13,2.5,54,3.16,2.94,3.2,3.07,2.6,2.43,38,2.36,2.25,1.64,1.59,25,0.25,1.81,1.74,2.19,2.09,3.39,3.24,2.37
SP2,20/08/16,Mallorca,Reus Deportiu,0,1,A,0,0,D,2,3,4.33,1.95,3.2,4.25,2,3.3,3.3,2,3.1,4.2,2.04,3.25,4.41,2,3,4,2,3.2,4.2,54,2.05,1.98,3.3,3.14,4.55,3.97,39,2.54,2.37,1.57,1.53,27,-0.5,2.06,1.98,1.88,1.82,2.05,3.26,4.33
SP2,21/08/16,Gimnastic,Lugo,2,2,D,0,2,A,1.95,3.3,4,1.95,3.25,4.1,1.9,3.3,3.7,1.95,3.1,4.2,2.02,3.31,4.38,2,3,4,1.95,3.25,4.3,54,2.02,1.96,3.31,3.19,4.38,3.95,39,2.5,2.34,1.61,1.55,27,-0.5,2.02,1.96,1.92,1.84,2.18,3.24,3.86
SP2,21/08/16,Numancia,Levante,0,1,A,0,0,D,2.5,3,3,2.6,3.1,2.85,2.5,3,2.8,2.62,3,2.88,2.75,3.12,2.93,2.5,3,2.88,2.63,3.1,2.88,54,2.75,2.55,3.3,3.03,3,2.81,39,2.5,2.33,1.61,1.55,27,0,1.88,1.82,2.08,1.99,2.59,3.17,3.09
SP2,21/08/16,Sevilla B,Girona,3,3,D,1,0,H,3.2,3,2.4,3.1,3.1,2.4,3,3,2.3,3.1,3,2.4,3.34,3.14,2.46,3,3,2.4,3.13,3.1,2.45,54,3.34,3.08,3.15,3.01,2.5,2.38,39,2.53,2.36,1.61,1.54,27,0.25,1.83,1.76,2.13,2.06,3.4,3.2,2.39
SP2,21/08/16,Valladolid,Oviedo,1,0,H,1,0,H,2.05,3.3,3.6,2.05,3.25,3.75,2,3.3,3.3,2.1,3.1,3.75,2.14,3.28,3.95,2.05,3.2,3.6,2.1,3.2,3.8,54,2.15,2.08,3.3,3.18,3.95,3.56,39,2.42,2.26,1.62,1.58,27,-0.25,1.86,1.79,2.11,2.02,2.27,3.16,3.73
